question,answer,wrong_answer,A,B,C,D,TFQs,LFGQs,MCQs,3_MC,2_MC
小婴儿，化脓性脑膜炎，最应注意的体征是,前囟隆起,"['克氏征', '布氏征', '巴氏征']",克氏征, 布氏征, 巴氏征,前囟隆起,小婴儿，化脓性脑膜炎，最应注意的体征是前隆起吗？回答'是'或者'不是'即可。,小婴儿，化脓性脑膜炎，最应注意的体征是什么？回答一句话即可。,请选择一个正确选项。小婴儿，化脓性脑膜炎，最应注意的体征是：A 克氏征 ，B  布氏征 ，C  巴氏征，D 前囟隆起。只能选择一个选项，禁止解释。,请选择一个正确选项。小婴儿，化脓性脑膜炎，最应注意的体征是：A 克氏征 ，B  布氏征 ，C 前囟隆起。只能选择一个选项，禁止解释。,请选择一个正确选项。小婴儿，化脓性脑膜炎，最应注意的体征是：A 克氏征 ，B 前囟隆起。只能选择一个选项，禁止解释。
卵巢颗粒细胞肿瘤的标志物是,E2,"['ACTH', 'CA125', 'β-hCG']",ACTH, CA125, β-hCG,E2,卵巢颗粒细胞肿瘤的标志物是E2吗？回答'是'或者'不是'即可。,卵巢颗粒细胞肿瘤的标志物是什么？回答一句话即可。,请选择一个正确选项。卵巢颗粒细胞肿瘤的标志物是：A ACTH ，B  CA125 ，C  β-hCG，D E2。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢颗粒细胞肿瘤的标志物是：A ACTH ，B  CA125 ，C E2。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢颗粒细胞肿瘤的标志物是：A ACTH ，B E2。只能选择一个选项，禁止解释。
最易受不良因素影响而发生流产死胎的胎龄是,20周,"['6周', '24周', '28周']",6周, 24周, 28周,20周,最易受不良因素影响而发生流产死胎的胎龄是20周吗？回答'是'或者'不是'即可。,最易受不良因素影响而发生流产死胎的胎龄是什么？回答一句话即可。,请选择一个正确选项。最易受不良因素影响而发生流产死胎的胎龄是：A 6周 ，B  24周 ，C  28周，D 20周。只能选择一个选项，禁止解释。,请选择一个正确选项。最易受不良因素影响而发生流产死胎的胎龄是：A 6周 ，B  24周 ，C 20周。只能选择一个选项，禁止解释。,请选择一个正确选项。最易受不良因素影响而发生流产死胎的胎龄是：A 6周 ，B 20周。只能选择一个选项，禁止解释。
我国早发型新生儿败血症病原菌最多见的是,大肠杆菌,"['幽门螺杆菌', '葡萄球菌', '表皮葡萄球菌']",幽门螺杆菌, 葡萄球菌, 表皮葡萄球菌,大肠杆菌,我国早发型新生儿败血症病原菌最多见的是大肠杆菌吗？回答'是'或者'不是'即可。,我国早发型新生儿败血症病原菌最多见的是什么？回答一句话即可。,请选择一个正确选项。我国早发型新生儿败血症病原菌最多见的是：A 幽门螺杆菌 ，B  葡萄球菌 ，C  表皮葡萄球菌，D 大肠杆菌。只能选择一个选项，禁止解释。,请选择一个正确选项。我国早发型新生儿败血症病原菌最多见的是：A 幽门螺杆菌 ，B  葡萄球菌 ，C 大肠杆菌。只能选择一个选项，禁止解释。,请选择一个正确选项。我国早发型新生儿败血症病原菌最多见的是：A 幽门螺杆菌 ，B 大肠杆菌。只能选择一个选项，禁止解释。
确定乳房肿块性质最可靠的方法是,活组织切片检查,"['乳房X线检查', '乳房B超检查', '乳房溢液涂片']",乳房X线检查, 乳房B超检查, 乳房溢液涂片,活组织切片检查,确定乳房肿块性质最可靠的方法是活组织切片检查吗？回答'是'或者'不是'即可。,确定乳房肿块性质最可靠的方法是什么？回答一句话即可。,请选择一个正确选项。确定乳房肿块性质最可靠的方法是：A 乳房X线检查 ，B  乳房B超检查 ，C  乳房溢液涂片，D 活组织切片检查。只能选择一个选项，禁止解释。,请选择一个正确选项。确定乳房肿块性质最可靠的方法是：A 乳房X线检查 ，B  乳房B超检查 ，C 活组织切片检查。只能选择一个选项，禁止解释。,请选择一个正确选项。确定乳房肿块性质最可靠的方法是：A 乳房X线检查 ，B 活组织切片检查。只能选择一个选项，禁止解释。
检查血清中抗核抗体的方法是,荧光标记,"['直接凝集', '对流免疫电泳', 'ELISA']",直接凝集, 对流免疫电泳, ELISA,荧光标记,检查血清中抗核抗体的方法是荧光标记吗？回答'是'或者'不是'即可。,检查血清中抗核抗体的方法是什么？回答一句话即可。,请选择一个正确选项。检查血清中抗核抗体的方法是：A 直接凝集 ，B  对流免疫电泳 ，C  ELISA，D 荧光标记。只能选择一个选项，禁止解释。,请选择一个正确选项。检查血清中抗核抗体的方法是：A 直接凝集 ，B  对流免疫电泳 ，C 荧光标记。只能选择一个选项，禁止解释。,请选择一个正确选项。检查血清中抗核抗体的方法是：A 直接凝集 ，B 荧光标记。只能选择一个选项，禁止解释。
血中可检出抗壁细胞抗体的胃炎是,A型胃炎,"['B型胃炎', '急性单纯性胃炎', '急性腐蚀性胃炎']",B型胃炎, 急性单纯性胃炎, 急性腐蚀性胃炎,A型胃炎,血中可检出抗壁细胞抗体的胃炎是A型胃炎吗？回答'是'或者'不是'即可。,血中可检出抗壁细胞抗体的胃炎是什么？回答一句话即可。,请选择一个正确选项。血中可检出抗壁细胞抗体的胃炎是：A B型胃炎 ，B  急性单纯性胃炎 ，C  急性腐蚀性胃炎，D A型胃炎。只能选择一个选项，禁止解释。,请选择一个正确选项。血中可检出抗壁细胞抗体的胃炎是：A B型胃炎 ，B  急性单纯性胃炎 ，C A型胃炎。只能选择一个选项，禁止解释。,请选择一个正确选项。血中可检出抗壁细胞抗体的胃炎是：A B型胃炎 ，B A型胃炎。只能选择一个选项，禁止解释。
急性呼吸窘迫综合征最重要的临床特征是,顽固性低氧血症,"['呼吸困难和体位无关', '呼吸频率显著增加', '混合型呼吸困难']",呼吸困难和体位无关, 呼吸频率显著增加, 混合型呼吸困难,顽固性低氧血症,急性呼吸窘迫综合征最重要的临床特征是顽固性低氧血症吗？回答'是'或者'不是'即可。,急性呼吸窘迫综合征最重要的临床特征是什么？回答一句话即可。,请选择一个正确选项。急性呼吸窘迫综合征最重要的临床特征是：A 呼吸困难和体位无关 ，B  呼吸频率显著增加 ，C  混合型呼吸困难，D 顽固性低氧血症。只能选择一个选项，禁止解释。,请选择一个正确选项。急性呼吸窘迫综合征最重要的临床特征是：A 呼吸困难和体位无关 ，B  呼吸频率显著增加 ，C 顽固性低氧血症。只能选择一个选项，禁止解释。,请选择一个正确选项。急性呼吸窘迫综合征最重要的临床特征是：A 呼吸困难和体位无关 ，B 顽固性低氧血症。只能选择一个选项，禁止解释。
婴儿期可出现肺动脉高压的是,室间隔缺损,"['房间隔缺损', '动脉导管未闭', '完全性大动脉错位']",房间隔缺损, 动脉导管未闭, 完全性大动脉错位,室间隔缺损,婴儿期可出现肺动脉高压的是室间隔缺损吗？回答'是'或者'不是'即可。,婴儿期可出现肺动脉高压的是什么？回答一句话即可。,请选择一个正确选项。婴儿期可出现肺动脉高压的是：A 房间隔缺损 ，B  动脉导管未闭 ，C  完全性大动脉错位，D 室间隔缺损。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿期可出现肺动脉高压的是：A 房间隔缺损 ，B  动脉导管未闭 ，C 室间隔缺损。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿期可出现肺动脉高压的是：A 房间隔缺损 ，B 室间隔缺损。只能选择一个选项，禁止解释。
新生儿轻度窒息，Apgar评分标准为,4～7分,"['0～3分', '3～5分', '6～9分']",0～3分, 3～5分, 6～9分,4～7分,新生儿轻度窒息的评分标准是4～7分吗？回答'是'或者'不是'即可。,新生儿轻度窒息，Apgar评分标准为什么？回答一句话即可。,请选择一个正确选项。新生儿轻度窒息，Apgar评分标准为：A 0～3分 ，B  3～5分 ，C  6～9分，D 4～7分。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿轻度窒息，Apgar评分标准为：A 0～3分 ，B  3～5分 ，C 4～7分。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿轻度窒息，Apgar评分标准为：A 0～3分 ，B 4～7分。只能选择一个选项，禁止解释。
婴儿每日水的需要量是,150ml/kg,"['120ml/kg', '130mI/kg', '160ml/kg']",120ml/kg, 130mI/kg, 160ml/kg,150ml/kg,婴儿每日水的需要量是150ml/kg吗？回答'是'或者'不是'即可。,婴儿每日水的需要量是什么？回答一句话即可。,请选择一个正确选项。婴儿每日水的需要量是：A 120ml/kg ，B  130mI/kg ，C  160ml/kg，D 150ml/kg。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿每日水的需要量是：A 120ml/kg ，B  130mI/kg ，C 150ml/kg。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿每日水的需要量是：A 120ml/kg ，B 150ml/kg。只能选择一个选项，禁止解释。
新生儿窒息复苏时最根本的为,尽量吸尽呼吸道黏液,"['胸外按压心脏', '复苏器加压给氧', '触觉刺激']",胸外按压心脏, 复苏器加压给氧, 触觉刺激,尽量吸尽呼吸道黏液,新生儿窒息复苏时最根本的为尽量吸尽呼吸道黏液吗？回答'是'或者'不是'即可。,新生儿窒息复苏时最根本的为什么？回答一句话即可。,请选择一个正确选项。新生儿窒息复苏时最根本的为：A 胸外按压心脏 ，B  复苏器加压给氧 ，C  触觉刺激，D 尽量吸尽呼吸道黏液。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿窒息复苏时最根本的为：A 胸外按压心脏 ，B  复苏器加压给氧 ，C 尽量吸尽呼吸道黏液。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿窒息复苏时最根本的为：A 胸外按压心脏 ，B 尽量吸尽呼吸道黏液。只能选择一个选项，禁止解释。
适应性体液免疫应答中最早产生的抗体分子是,IgM,"['IgE', 'IgA', 'IgG']",IgE, IgA, IgG,IgM,适应性体液免疫应答中最早产生的抗体分子是IgM吗？回答'是'或者'不是'即可。,适应性体液免疫应答中最早产生的抗体分子是什么？回答一句话即可。,请选择一个正确选项。适应性体液免疫应答中最早产生的抗体分子是：A IgE ，B  IgA ，C  IgG，D IgM。只能选择一个选项，禁止解释。,请选择一个正确选项。适应性体液免疫应答中最早产生的抗体分子是：A IgE ，B  IgA ，C IgM。只能选择一个选项，禁止解释。,请选择一个正确选项。适应性体液免疫应答中最早产生的抗体分子是：A IgE ，B IgM。只能选择一个选项，禁止解释。
子宫内膜异位症最常见的好发部位是,卵巢,"['阴道', '输卵管', '直肠']",阴道, 输卵管, 直肠,卵巢,子宫内膜异位症最常见的好发部位是卵巢吗?回答'是'或者'不是'即可。,子宫内膜异位症最常见的好发部位是什么？回答一句话即可。,请选择一个正确选项。子宫内膜异位症最常见的好发部位是：A 阴道 ，B  输卵管 ，C  直肠，D 卵巢。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫内膜异位症最常见的好发部位是：A 阴道 ，B  输卵管 ，C 卵巢。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫内膜异位症最常见的好发部位是：A 阴道 ，B 卵巢。只能选择一个选项，禁止解释。
婴儿支气管肺炎心力衰竭时，最少见的体征是,颈静脉怒张,"['心率突然>160次/分', '呼吸突然加快>60次/分', '肝增大']",心率突然>160次/分, 呼吸突然加快>60次/分, 肝增大,颈静脉怒张,婴儿支气管肺炎心力衰竭时，最少见的体征是颈静脉怒张吗？回答'是'或者'不是'即可。,婴儿支气管肺炎心力衰竭时，最少见的体征是什么？回答一句话即可。,请选择一个正确选项。婴儿支气管肺炎心力衰竭时，最少见的体征是：A 心率突然>160次/分 ，B  呼吸突然加快>60次/分 ，C  肝增大，D 颈静脉怒张。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿支气管肺炎心力衰竭时，最少见的体征是：A 心率突然>160次/分 ，B  呼吸突然加快>60次/分 ，C 颈静脉怒张。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿支气管肺炎心力衰竭时，最少见的体征是：A 心率突然>160次/分 ，B 颈静脉怒张。只能选择一个选项，禁止解释。
出生体重2200g，胎龄39周被称为,足月小样儿,"['极低出生体重儿', '早产儿', '巨大儿']",极低出生体重儿, 早产儿, 巨大儿,足月小样儿,出生体重2200g，胎龄39周被称为足月小样儿吗？回答'是'或者'不是'即可。,出生体重2200g，胎龄39周被称为什么？回答一句话即可。,请选择一个正确选项。出生体重2200g，胎龄39周被称为：A 极低出生体重儿 ，B  早产儿 ，C  巨大儿，D 足月小样儿。只能选择一个选项，禁止解释。,请选择一个正确选项。出生体重2200g，胎龄39周被称为：A 极低出生体重儿 ，B  早产儿 ，C 足月小样儿。只能选择一个选项，禁止解释。,请选择一个正确选项。出生体重2200g，胎龄39周被称为：A 极低出生体重儿 ，B 足月小样儿。只能选择一个选项，禁止解释。
